cellule ;largeur de bande;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested 
18135;15;9,767063638;16,5;10,76842945;17,12728882;1,231681559;1,844259739;0
18136;10;21,72755997;44,66666667;9,452894904;17,12756538;1,246508735;4,439150095;0
18137;15;8,127654814;11,66666667;11,47577155;17,12793922;1,148373109;1,214470267;0
18138;15;5,45972697;6,666666667;12,85818446;17,12900734;1,029461582;0,485254049;0
18139;10;6,279283836;10,33333333;12,85858979;17,1307621;1,005061218;0,390932083;0
18140;15;11,90481042;20,83333333;11,90138408;17,13077164;1,332862341;3,257475972;0
18141;15;8,434594393;16,5;12,77316987;17,13706207;1,087286962;0,873859406;0
18142;15;3,758561416;13,5;12,79577487;17,13882446;1,155114543;1,893946528;0
18143;15;6,143901806;10,16666667;12,20325388;17,13960266;1,06885226;1,080484986;0
18144;15;10,20213388;15,5;11,57484758;17,1401844;1,216186598;1,843551993;0
18145;15;25,19406064;55;10,87804976;17,14372063;1,849424465;9,262705326;0
18146;15;7,193177528;7,666666667;10,0738485;17,14458275;1,082146345;0,686150551;0
18147;15;4,395510024;5,666666667;11,76112842;17,14486122;1,000870322;0,051708817;0
18148;15;16,65252465;36,33333333;11,05693852;17,1458683;1,573634928;4,767421961;0
18149;10;7,709840278;16,16666667;14,17383519;17,15007591;1,159051596;1,631543398;0
18150;10;14,15548018;18,83333333;11,00568578;17,1506958;1,084752025;1,861935973;0
18151;15;6,942001167;12;9,110684251;17,15444756;1,123302534;0,85746181;0
18152;15;7,086297666;11;10,88343725;17,15590668;1,090610285;0,920856476;0
18153;15;8,230701024;11,66666667;11,07651691;17,15702629;1,100420414;0,991458178;0
18154;10;10,46073182;18,16666667;9,74229377;17,15781403;1,050247791;1,354178429;0
18155;15;9,38070451;18,5;12,04078775;17,16379738;1,175538378;1,93982482;0
18156;15;14,15064175;24,83333333;11,12302105;17,16527176;1,140423506;2,391991973;0
18157;15;5,012604678;6,166666667;12,26990605;17,17310715;1,038016576;0,374343753;0
18158;10;7,063715184;11;11,86192495;17,17802238;1,06448619;0,65294075;0
18159;15;18,45286251;52,5;9,776368029;17,18133736;1,092781954;4,418837428;0
18160;15;4,800645944;6,5;12,75408711;17,18309784;1,078373683;0,659940481;0
18161;15;11,15919058;30,5;11,94729937;17,18526268;1,358884076;3,761871815;0
18162;10;8,807144833;9,666666667;13,01023922;17,18901062;1,170139608;1,053666592;0
18163;10;11,04645541;13,66666667;12,12559993;17,19051552;1,122437897;1,410507798;0
18164;15;7,099519202;13,83333333;12,64569969;17,1950779;1,1034289;1,594008446;0
18165;15;3,972534701;6,333333333;11,97484653;17,19578743;1,034120171;0,414087534;0
18166;15;10,80026992;26,16666667;12,23297773;17,19731522;1,288586445;2,62618506;0
18167;15;11,97702788;17,33333333;12,7032235;17,19773483;1,225620646;2,636581659;0
18168;15;9,401405712;16,5;11,32944175;17,20094872;1,1240578;1,257087469;0
18169;15;8,289771502;17,33333333;11,45214121;17,20157051;1,214681762;2,362932444;0
18170;10;8,017618738;12,83333333;13,78045865;17,20818901;1,055466756;1,716263175;0
18171;10;8,268781398;9,666666667;9,06015528;17,2084713;1,033409269;0,559281945;0
18172;15;11,24591651;17,83333333;12,46826514;17,21676064;1,265327689;2,496791124;0
18173;10;23,3835793;33,83333333;10,12444111;17,21782112;1,199567865;3,164573908;0
18174;10;7,269230983;13;11,35726345;17,22244263;1,066998606;0,875092506;0
18175;15;4,241525186;6,166666667;12,20249852;17,22422981;0,956692477;0,177079678;0
18176;15;7,595822346;17,83333333;12,30944592;17,22445107;1,034383517;0,306262136;0
18177;15;3,535570699;7;12,58333408;17,22760773;1,088824669;0,844954133;0
18178;10;6,243485145;6,666666667;11,3714736;17,23062134;1,026775737;0,347284436;0
18179;15;5,373905552;6,166666667;12,78088279;17,23168373;1,04920153;0,579926968;0
18180;10;12,81208436;15,16666667;10,99236495;17,23247528;1,154561487;1,440461636;0
18181;15;13,33315647;19;11,75603691;17,23942184;1,259971294;2,011080265;0
18182;15;11,11376705;15,83333333;12,16137555;17,24287033;1,194395306;1,899963737;0
18183;10;5,168877176;6,666666667;12,77889174;17,2436924;1,001825915;0,469186425;0
18184;15;11,90685353;16,16666667;11,58833895;17,24479675;1,134535056;2,032411456;0
18185;15;6,790940698;9;12,22519041;17,24853516;1,083718283;0,908330321;0
18186;15;5,598644016;6,5;11,13926713;17,25037384;1,068990862;0,331983924;0
18187;15;11,44073092;19,16666667;11,78641813;17,25066185;1,274265756;2,367078781;0
18188;10;8,188549299;14,83333333;12,62389346;17,25112724;0,991451391;0,947593689;0
18189;10;11,34206648;19;13,45857129;17,25748062;1,202574048;2,348620534;0
18190;10;15,76819682;30,83333333;10,49060016;17,25912857;1,282954847;3,053391337;0
18191;15;7,360663648;16,83333333;11,90772933;17,25924492;1,099380945;1,614270568;0
18192;10;7,606959091;10;12,61234783;17,26182175;1,051231824;0,566514254;0
18193;15;5,830948508;7,333333333;10,24457943;17,26307106;1,062565667;0,474516869;0
18194;15;10,00475084;19,33333333;11,69966467;17,26515961;1,167400494;2,022371769;0
18195;15;12,38759363;31,83333333;12,21765937;17,26618576;1,40487124;3,642172694;0
18196;15;9,999166639;17,33333333;12,91288545;17,26890945;1,163201739;2,370906115;0
18197;15;7,071865962;10,16666667;11,89319746;17,27303123;1,013346115;0,805328608;0
18198;15;7,436045552;12,83333333;11,09297499;17,27391243;1,090404637;1,264919639;0
18199;15;10,02969088;12;10,51819642;17,27478218;1,109802692;1,377574325;0
18200;#N/A;5,493253337;8,666666667;12,52432138;17,27591896;1,022416294;0,333929539;0
18201;15;8,311274426;14,66666667;10,024876;17,27601242;1,099198799;1,450305581;0
18202;15;11,899847;18,16666667;11,50905369;17,27983856;1,231616067;2,166948438;0
18203;15;7,798133797;10,16666667;11,38981044;17,28093338;1,109582587;1,038156986;0
18204;15;4,441581873;5,666666667;14,31388023;17,28203201;1,025116619;0,254440308;0
18205;15;3,817900067;12,33333333;12,05544092;17,28615761;1,056835662;0,805544972;0
18206;10;5,903737604;7,166666667;9,581519611;17,28845215;0,92036564;0,188623786;0
18207;15;9,387798797;11;12,18742639;17,29010582;1,174629956;1,674596786;0
18208;15;4,92051652;6,333333333;12,80080227;17,29241943;1,024988731;0,431231976;0
18209;15;9,795965605;14;10,84528623;17,29592514;1,203139366;1,645793796;0
18210;10;9,733814767;10,83333333;10,15237252;17,29693222;1,042960391;0,852197766;0
18211;10;16,19430576;39,83333333;9,494768474;17,30096054;1,023438253;2,95539546;0
18212;10;3,951193268;12,33333333;11,72283138;17,30469704;1,12092675;1,256933808;0
18213;10;13,92601162;36,66666667;13,17186944;17,30732536;1,238441489;4,656445026;0
18214;10;5,347885509;5,833333333;10,56983451;17,30760956;0,951603517;0,124829412;0
18215;15;9,025272877;18,5;11,12695452;17,30839348;1,129164193;1,683298826;0
18216;15;7,533621468;9;11,09232812;17,30856514;1,082639709;0,90819633;0
18217;15;7,983195582;9,833333333;13,22035256;17,31057739;1,137612662;1,601855159;0
18218;15;4,238153944;5,166666667;14,7108371;17,31157494;1,012654102;0,217996955;0
18219;15;4,394828262;5,333333333;14,00321608;17,31265068;1,018313555;0,07367456;0
18220;15;6,46399103;10,16666667;13,08117119;17,31718063;1,107666263;1,231833696;0
18221;10;8,076054193;7,5;9,122030018;17,31850433;1,017557687;0,557089806;0
18222;15;15,88056361;29,5;12,06935052;17,32075119;1,441283584;4,590760946;0
18223;15;6,123880684;8,333333333;11,24117657;17,32814407;1,061739974;0,680485249;0
18224;15;17,964802;25,5;10,81460279;17,32852745;1,352203608;3,56592679;0
18225;15;8,179749215;11,83333333;10,86044401;17,32993507;1,090813111;1,13978827;0
18226;10;7,116360706;7,5;10,3121115;17,33057022;1,037897656;0,40981102;0
18227;15;9,268873788;14,5;10,35257692;17,3325367;1,094410958;1,35169518;0
18228;15;12,70526019;25,33333333;10,91144569;17,33384514;1,348959412;2,962112308;0
18229;10;7,033601674;8,666666667;9,905896188;17,33644867;1,002673709;0,504541278;0
18230;15;5,000812519;6;11,31862065;17,3407402;1,012483624;0,220470667;0
18231;15;4,694220482;6,166666667;9,591276229;17,34082031;0,974926898;0,152318597;0
18232;15;5,300161949;12,66666667;10,75295368;17,34228706;1,139235304;1,346731067;0
18233;10;7,48466204;17,33333333;12,381947;17,34570885;1,154954315;1,754072428;0
18234;10;7,01298051;5,333333333;10,27396463;17,34592819;0,999130091;0,308744669;0
18235;15;4,44178409;5,333333333;12,85929834;17,35268021;1,019566919;0,145513654;0
18236;15;8,526937668;12,66666667;11,15003208;17,35328484;1,192242299;1,541994929;0
18237;15;12,75622802;20;9,378425707;17,35342598;1,20421386;2,210417628;0
18238;15;9,753905527;13,16666667;11,97803187;17,35522079;1,153261295;1,543654442;0
18239;15;8,099743438;10,33333333;13,28296007;17,35815048;1,233658096;1,418532848;0
18240;15;5,516908751;7,5;10,24550674;17,35877419;1,03440734;0,412025809;0
18241;15;3,437249903;8,333333333;12,53668372;17,36098099;1,01308616;0,470728278;0
18242;15;19,33322958;45,5;12,56360434;17,36200714;1,420162324;6,313461185;0
18243;15;6,322599158;10,83333333;10,77009496;17,36462593;1,011139929;0,541499853;0
18244;10;12,61618207;18,66666667;10,43939801;17,36657524;1,156631606;1,600873947;0
18245;15;6,207062124;9;12,14232137;17,37340164;1,019047409;0,369383097;0
18246;15;15,87011436;26,66666667;11,29239466;17,37482452;1,285209551;3,335434675;0
18247;10;7,292822533;8;11,6670175;17,37611389;1,053931918;0,552173615;0
18248;15;11,83168568;23,16666667;10,8641768;17,37706375;1,272357913;2,484578371;0
18249;15;4,954876374;6,5;14,7232246;17,37909698;1,051542015;0,646559954;0
18250;10;5,443713949;6,166666667;11,04107814;17,38013077;1,000050042;0,124215007;0
18251;15;4,833008509;7,166666667;8,255271173;17,38515282;0,86150107;0,147657394;0
18252;15;4,987578062;5,166666667;13,34194002;17,38637161;1,029440849;0,360330701;0
18253;15;14,12940169;17,83333333;11,4255212;17,3867588;1,084898403;2,446681499;0
18254;15;24,6514938;71,83333333;10,28977169;17,38721657;1,989487766;11,48805428;0
